topicId,rank,docId,filename
1,1,5,null-source
1,2,19,null-source
1,3,20,null-source
1,4,24,null-source
1,5,13,null-source
1,6,8,null-source
1,7,23,null-source
1,8,12,null-source
1,9,11,null-source
1,10,21,null-source
1,11,18,null-source
1,12,14,null-source
1,13,2,null-source
1,14,16,null-source
1,15,9,null-source
1,16,22,null-source
1,17,17,null-source
1,18,15,null-source
1,19,10,null-source
1,20,7,null-source
1,21,6,null-source
1,22,4,null-source
1,23,3,null-source
1,24,1,null-source
2,1,19,null-source
2,2,21,null-source
2,3,3,null-source
2,4,5,null-source
2,5,13,null-source
2,6,2,null-source
2,7,23,null-source
2,8,24,null-source
2,9,9,null-source
2,10,20,null-source
2,11,1,null-source
2,12,11,null-source
2,13,12,null-source
2,14,10,null-source
2,15,8,null-source
2,16,15,null-source
2,17,14,null-source
2,18,18,null-source
2,19,7,null-source
2,20,4,null-source
2,21,22,null-source
2,22,17,null-source
2,23,16,null-source
2,24,6,null-source
3,1,19,null-source
3,2,11,null-source
3,3,21,null-source
3,4,20,null-source
3,5,24,null-source
3,6,5,null-source
3,7,3,null-source
3,8,2,null-source
3,9,17,null-source
3,10,9,null-source
3,11,13,null-source
3,12,12,null-source
3,13,10,null-source
3,14,23,null-source
3,15,16,null-source
3,16,14,null-source
3,17,8,null-source
3,18,6,null-source
3,19,4,null-source
3,20,1,null-source
3,21,22,null-source
3,22,18,null-source
3,23,15,null-source
3,24,7,null-source
4,1,5,null-source
4,2,19,null-source
4,3,20,null-source
4,4,8,null-source
4,5,14,null-source
4,6,11,null-source
4,7,10,null-source
4,8,13,null-source
4,9,21,null-source
4,10,12,null-source
4,11,24,null-source
4,12,23,null-source
4,13,6,null-source
4,14,2,null-source
4,15,16,null-source
4,16,9,null-source
4,17,3,null-source
4,18,15,null-source
4,19,7,null-source
4,20,18,null-source
4,21,4,null-source
4,22,1,null-source
4,23,22,null-source
4,24,17,null-source
5,1,19,null-source
5,2,10,null-source
5,3,24,null-source
5,4,5,null-source
5,5,8,null-source
5,6,11,null-source
5,7,20,null-source
5,8,21,null-source
5,9,9,null-source
5,10,2,null-source
5,11,23,null-source
5,12,18,null-source
5,13,13,null-source
5,14,15,null-source
5,15,7,null-source
5,16,17,null-source
5,17,14,null-source
5,18,12,null-source
5,19,6,null-source
5,20,4,null-source
5,21,1,null-source
5,22,22,null-source
5,23,16,null-source
5,24,3,null-source
6,1,11,null-source
6,2,20,null-source
6,3,10,null-source
6,4,19,null-source
6,5,21,null-source
6,6,24,null-source
6,7,2,null-source
6,8,5,null-source
6,9,9,null-source
6,10,23,null-source
6,11,3,null-source
6,12,14,null-source
6,13,18,null-source
6,14,8,null-source
6,15,13,null-source
6,16,15,null-source
6,17,12,null-source
6,18,6,null-source
6,19,22,null-source
6,20,7,null-source
6,21,4,null-source
6,22,16,null-source
6,23,17,null-source
6,24,1,null-source
7,1,24,null-source
7,2,19,null-source
7,3,13,null-source
7,4,9,null-source
7,5,23,null-source
7,6,8,null-source
7,7,11,null-source
7,8,5,null-source
7,9,14,null-source
7,10,20,null-source
7,11,12,null-source
7,12,3,null-source
7,13,21,null-source
7,14,10,null-source
7,15,22,null-source
7,16,15,null-source
7,17,7,null-source
7,18,6,null-source
7,19,18,null-source
7,20,16,null-source
7,21,17,null-source
7,22,4,null-source
7,23,2,null-source
7,24,1,null-source
8,1,19,null-source
8,2,8,null-source
8,3,5,null-source
8,4,24,null-source
8,5,20,null-source
8,6,21,null-source
8,7,12,null-source
8,8,13,null-source
8,9,2,null-source
8,10,10,null-source
8,11,23,null-source
8,12,15,null-source
8,13,9,null-source
8,14,18,null-source
8,15,17,null-source
8,16,14,null-source
8,17,11,null-source
8,18,6,null-source
8,19,3,null-source
8,20,1,null-source
8,21,22,null-source
8,22,16,null-source
8,23,7,null-source
8,24,4,null-source
9,1,23,null-source
9,2,8,null-source
9,3,20,null-source
9,4,10,null-source
9,5,18,null-source
9,6,11,null-source
9,7,24,null-source
9,8,19,null-source
9,9,13,null-source
9,10,12,null-source
9,11,21,null-source
9,12,14,null-source
9,13,16,null-source
9,14,9,null-source
9,15,6,null-source
9,16,15,null-source
9,17,3,null-source
9,18,5,null-source
9,19,2,null-source
9,20,4,null-source
9,21,22,null-source
9,22,17,null-source
9,23,7,null-source
9,24,1,null-source
10,1,19,null-source
10,2,20,null-source
10,3,23,null-source
10,4,24,null-source
10,5,18,null-source
10,6,5,null-source
10,7,11,null-source
10,8,13,null-source
10,9,16,null-source
10,10,12,null-source
10,11,10,null-source
10,12,6,null-source
10,13,9,null-source
10,14,21,null-source
10,15,17,null-source
10,16,2,null-source
10,17,14,null-source
10,18,15,null-source
10,19,3,null-source
10,20,8,null-source
10,21,4,null-source
10,22,1,null-source
10,23,22,null-source
10,24,7,null-source
11,1,19,null-source
11,2,5,null-source
11,3,8,null-source
11,4,11,null-source
11,5,4,null-source
11,6,20,null-source
11,7,23,null-source
11,8,21,null-source
11,9,13,null-source
11,10,24,null-source
11,11,7,null-source
11,12,2,null-source
11,13,14,null-source
11,14,9,null-source
11,15,18,null-source
11,16,17,null-source
11,17,10,null-source
11,18,3,null-source
11,19,15,null-source
11,20,12,null-source
11,21,6,null-source
11,22,1,null-source
11,23,22,null-source
11,24,16,null-source
12,1,19,null-source
12,2,5,null-source
12,3,24,null-source
12,4,20,null-source
12,5,8,null-source
12,6,14,null-source
12,7,13,null-source
12,8,21,null-source
12,9,15,null-source
12,10,11,null-source
12,11,2,null-source
12,12,10,null-source
12,13,9,null-source
12,14,6,null-source
12,15,3,null-source
12,16,23,null-source
12,17,22,null-source
12,18,18,null-source
12,19,17,null-source
12,20,4,null-source
12,21,16,null-source
12,22,12,null-source
12,23,7,null-source
12,24,1,null-source
13,1,8,null-source
13,2,21,null-source
13,3,19,null-source
13,4,2,null-source
13,5,5,null-source
13,6,13,null-source
13,7,9,null-source
13,8,11,null-source
13,9,4,null-source
13,10,20,null-source
13,11,24,null-source
13,12,22,null-source
13,13,14,null-source
13,14,3,null-source
13,15,23,null-source
13,16,10,null-source
13,17,18,null-source
13,18,15,null-source
13,19,12,null-source
13,20,16,null-source
13,21,17,null-source
13,22,1,null-source
13,23,7,null-source
13,24,6,null-source
14,1,19,null-source
14,2,8,null-source
14,3,2,null-source
14,4,21,null-source
14,5,9,null-source
14,6,5,null-source
14,7,13,null-source
14,8,24,null-source
14,9,20,null-source
14,10,11,null-source
14,11,12,null-source
14,12,10,null-source
14,13,7,null-source
14,14,3,null-source
14,15,23,null-source
14,16,22,null-source
14,17,18,null-source
14,18,15,null-source
14,19,14,null-source
14,20,4,null-source
14,21,17,null-source
14,22,16,null-source
14,23,6,null-source
14,24,1,null-source
15,1,19,null-source
15,2,5,null-source
15,3,24,null-source
15,4,12,null-source
15,5,20,null-source
15,6,13,null-source
15,7,4,null-source
15,8,15,null-source
15,9,10,null-source
15,10,9,null-source
15,11,8,null-source
15,12,21,null-source
15,13,6,null-source
15,14,3,null-source
15,15,2,null-source
15,16,23,null-source
15,17,22,null-source
15,18,18,null-source
15,19,14,null-source
15,20,1,null-source
15,21,17,null-source
15,22,16,null-source
15,23,11,null-source
15,24,7,null-source
